nodes	distance	intervalUp	intervalDown	MaxNumberOfBackoffs	MaxNumberOfRetransmissions	InitialBackoffExponent	MaxBackoffExponent	PSDU	handleACKs	betterRetrans	inverse	K	Ptx	Pn	Pdist	broadcast
7	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
19	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
37	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
62	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
93	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
130	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
173	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
223	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
279	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
341	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
410	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
485	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
566	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
653	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
747	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
847	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
953	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
1066	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
1185	25	inf	0.1	3	0	3	8	114	0	1	0	22	0	-80	-80	1
